t,min,max
0,100,149.5569482
1,100,177.444926
2,100.0000001,197.2669622
3,100.0000003,213.1527871
4,100.0000016,226.6825834
5,100.0000065,238.6070646
6,100.0000215,249.3466917
7,100.0000622,259.1650789
8,100.0001598,268.2406887
9,100.0003713,276.7010976
10,100.0007922,284.6412829
11,100.0015698,292.1342188
12,100.0029175,299.2374097
13,100.0051268,305.9971213
14,100.0085775,312.45123
15,100.0137432,318.6312059
16,100.0211938,324.5635313
17,100.0315926,330.270739
18,100.0456912,335.7721889
19,100.0643199,341.0846584
20,100.0883766,346.222799
21,100.1188141,351.1994939
22,100.1566262,356.0261423
23,100.2028341,360.7128871
24,100.2584728,365.2687999
25,100.3245789,369.7020323
26,100.4021786,374.0199411
27,100.4922776,378.2291919
28,100.5958522,382.3358465
29,100.713842,386.3454365
30,100.8471431,390.2630255
31,100.9966039,394.0932626
32,101.1630208,397.8404283
33,101.3471357,401.5084733
34,101.5496342,405.1010538
35,101.771145,408.6215604
36,102.0122392,412.0731443
37,102.2734311,415.4587409
38,102.5551791,418.7810887
39,102.8578867,422.0427485
40,103.1819047,425.2461178
41,103.5275324,428.3934462
42,103.8950205,431.4868468
43,104.2845728,434.5283082
44,104.6963489,437.5197041
45,105.1304662,440.4628027
46,105.5870028,443.3592746
47,106.0659994,446.2107005
48,106.5674623,449.0185773
49,107.0913652,451.784325
50,107.6376516,454.5092915
51,108.2062372,457.1947581
52,108.7970119,459.8419436
53,109.4098419,462.4520093
54,110.0445713,465.0260619
55,110.7010245,467.5651578
56,111.3790076,470.0703057
57,112.07831,472.5424703
58,112.7987065,474.9825745
59,113.5399579,477.3915019
60,114.3018133,479.7700997
61,115.0840107,482.1191803
62,115.8862786,484.4395234
63,116.7083371,486.7318783
64,117.5498989,488.996965
65,118.4106702,491.2354762
66,119.2903518,493.4480787
67,120.1886399,495.6354149
68,121.1052268,497.7981037
69,122.0398018,499.9367421
70,122.9920518,502.0519062
71,123.9616619,504.1441524
72,124.9483158,506.2140178
73,125.9516969,508.2620219
74,126.9714882,510.2886671
75,128.0073729,512.2944393
76,129.0590351,514.2798089
77,130.1261599,516.2452316
78,131.2084337,518.1911488
79,132.3055447,520.1179884
80,133.417183,522.0261654
81,134.5430413,523.9160824
82,135.6828143,525.78813
83,136.8361997,527.6426875
84,138.0028981,529.4801232
85,139.1826131,531.3007951
86,140.3750515,533.105051
87,141.5799234,534.893229
88,142.7969424,536.6656579
89,144.0258257,538.4226576
90,145.2662941,540.1645393
91,146.5180721,541.8916061
92,147.7808881,543.6041528
93,149.0544742,545.3024666
94,150.3385664,546.9868274
95,151.6329047,548.6575076
96,152.9372331,550.3147729
97,154.2512993,551.9588821
98,155.5748553,553.5900878
99,156.9076569,555.2086359
